                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.57399,                 0.4357,                0.91845,                0.98138,                0.98436,                0.99431,                0.86714,                0.54561,                0.36338,                0.88076,              0.0013243,              0.0013243,              0.0013243
                     76,                 0.5776,                0.43593,                0.92623,                0.97928,                0.99674,                  0.995,                0.86843,                0.56248,                0.35104,                0.91225,              0.0013229,              0.0013229,              0.0013229
                     77,                0.56822,                0.43221,                0.91441,                 0.9656,                0.99887,                0.99398,                0.87989,                0.52376,                0.33301,                0.88485,              0.0013215,              0.0013215,              0.0013215
                     78,                0.57075,                0.43277,                  0.912,                0.96112,                      1,                0.99399,                0.87545,                0.54744,                0.34808,                0.88221,              0.0013201,              0.0013201,              0.0013201
                     79,                0.57689,                0.44156,                0.91861,                0.95963,                0.99074,                 0.9883,                0.87983,                0.52141,                0.35357,                0.87689,              0.0013187,              0.0013187,              0.0013187
                     80,                0.56792,                0.43416,                0.91514,                0.96431,                0.98365,                0.98353,                0.84392,                0.61896,                0.37685,                0.94692,              0.0013172,              0.0013172,              0.0013172
                     81,                 0.5633,                0.41741,                0.91521,                 0.9782,                0.97439,                0.99085,                0.85611,                0.57158,                0.36232,                0.90484,              0.0013158,              0.0013158,              0.0013158
                     82,                0.56954,                0.42584,                0.91355,                0.96665,                0.98453,                0.99313,                0.88819,                0.49682,                0.33778,                 0.8749,              0.0013144,              0.0013144,              0.0013144
                     83,                0.58045,                0.42291,                0.92065,                0.95901,                0.99833,                0.99396,                0.87936,                0.56674,                0.34996,                0.89351,               0.001313,               0.001313,               0.001313
                     84,                 0.5723,                0.42081,                 0.9199,                0.97758,                0.97784,                0.99412,                0.87336,                0.57176,                 0.3783,                0.89858,              0.0013116,              0.0013116,              0.0013116
